"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"109",160,40,180,60,664.291109957513,645.615327156725,628.042548600965,589.903918013435,613.986553773824,619.892127285689,635.54476859338,516.445224100869,109
"110",180,40,200,60,669.106009078193,722.223841330619,741.218925857622,807.054064137598,840.184044597623,766.226481856121,765.488589154366,795.692976732822,110
"111",200,40,220,60,462.39440434103,499.105970708451,546.015573788676,562.628863228464,549.896239059814,532.595542629689,519.107937355301,438.097549065539,111
"112",220,40,240,60,451.598878665223,377.800261377386,407.804404864733,429.671005289504,443.061292933011,440.013528972177,431.742345857794,462.340190533683,112
"113",240,40,260,60,606.034067191971,570.293061851379,566.116705377795,609.6324520225,583.395919203589,547.230223928384,611.775783496576,632.265124046583,113
"114",260,40,280,60,1233.77650492546,978.955634439126,924.752262696963,953.042814639243,937.954920173463,882.508367637118,856.610074138448,654.19324306765,114
"115",280,40,300,60,811.807984220624,772.759307621238,782.775995210104,799.516581411972,810.857219366336,810.067091757017,810.52354197219,858.843790146668,115
"116",300,40,320,60,431.963514277091,491.02529418534,518.223562791143,539.426825484905,521.221193470731,514.941472826507,520.889432719841,498.60505304744,116
"117",320,40,340,60,743.074982383641,766.743321682157,824.696697829038,802.943425162865,803.126197554927,526.906794231327,528.782447512828,526.196118233795,117
"118",340,40,360,60,830.645008106975,945.597371820833,846.499617748041,790.751067052951,742.202113497134,763.874138288248,780.988193090303,540.393889014086,118
"119",360,40,380,60,405.724519975148,448.483131092839,498.061757470567,443.108938116351,476.067990279519,522.716970098746,500.490267417281,497.195618890798,119
"120",380,40,400,60,352.703004805281,392.523065270263,396.678780277298,383.92499681063,352.40051636106,449.827537348919,505.594636651357,541.73381153936,120
"121",400,40,420,60,805.110997319275,668.643806843411,631.707720650027,664.747843609269,646.411169833858,571.59619448856,602.735591513583,596.894947187148,121
"122",420,40,440,60,1322.67921204293,928.345306900627,945.505381158895,999.833500656376,1013.20584496635,822.864219798727,819.536413829413,843.368595926311,122
"123",440,40,460,60,533.036445787956,492.925400022829,582.736092036047,608.858665094655,613.676976491597,535.516812432179,605.630104895222,551.078203711466,123
"124",460,40,480,60,993.346017421729,960.855052928258,927.627653735514,905.921331388234,903.836782900087,914.202785987914,841.671541853872,905.786665267218,124
"125",480,40,500,60,786.501396492012,699.966058542314,745.722303286005,766.670682338308,782.087340067872,796.486266778817,865.408009767839,872.634368092584,125
"126",500,40,520,60,815.409424056296,787.558535719753,769.276810974843,777.578580475943,678.478473669074,700.521807265708,734.175381888188,762.436595619416,126
"127",520,40,540,60,596.66895209302,678.133112132797,750.744117926322,690.93944071923,714.630634341446,706.652056947746,711.717704729524,702.15906101344,127
"128",540,40,560,60,691.125072160792,647.953452919317,662.201048509104,673.222791584594,704.194559719825,688.056691442782,681.839939401731,711.810123659203,128
"129",560,40,580,60,524.817476609963,522.061616969703,550.46728226269,510.669116057927,566.762695502799,603.41531558747,595.442986435952,517.361866701775,129
"130",580,40,600,60,561.335658831454,632.86702139929,617.603991259333,585.559583021237,617.585985578294,664.487076411893,683.847872511078,702.03070271237,130
"131",600,40,620,60,688.164640400417,606.997998305064,684.587598871544,673.787278507804,710.996360732841,526.321472403276,478.517219473098,506.46874809755,131
